2;40;0.3462695171578595;40;0.3462695171578595;;;leakyrelu;rmsprop;64;90.35233535114517
3;40;0.21261430843422813;40;0.21261430843422813;40;0.21261430843422813;relu;rmsprop;128;90.25451633544132
3;40;0.3637790828042422;40;0.3637790828042422;40;0.3637790828042422;leakyrelu;adam;256;89.55980835877381
2;50;0.26754035954424016;50;0.26754035954424016;;;leakyrelu;adam;128;88.87124437106127
1;50;0.18731750208370335;;;;;leakyrelu;adam;256;196.01245992743796
3;30;0.3441846753708239;30;0.3441846753708239;30;0.3441846753708239;leakyrelu;rmsprop;256;89.9139652089176
1;30;0.37859227710307114;;;;;leakyrelu;adam;64;89.80233367405303
2;30;0.1294929579149945;30;0.1294929579149945;;;leakyrelu;rmsprop;128;88.65591908096027
3;50;0.03264337502447834;50;0.03264337502447834;50;0.03264337502447834;leakyrelu;rmsprop;256;86.97962407609776
1;30;0.06045109560475492;;;;;relu;adam;128;87.3453604102713
2;40;0.3462695171578595;40;0.3462695171578595;;;leakyrelu;rmsprop;64;90.61512057559268
3;40;0.21261430843422813;40;0.21261430843422813;40;0.21261430843422813;relu;rmsprop;128;89.83373288608198
3;40;0.3637790828042422;40;0.3637790828042422;40;0.3637790828042422;leakyrelu;adam;256;90.41926635245193
2;50;0.26754035954424016;50;0.26754035954424016;;;leakyrelu;adam;128;89.7267891048256
1;50;0.18731750208370335;;;;;leakyrelu;adam;256;180.38007170918854
3;30;0.3441846753708239;30;0.3441846753708239;30;0.3441846753708239;leakyrelu;rmsprop;256;91.21632520605604
1;30;0.37859227710307114;;;;;leakyrelu;adam;64;90.96358624813215
2;30;0.1294929579149945;30;0.1294929579149945;;;leakyrelu;rmsprop;128;89.7951762172305
3;50;0.03264337502447834;50;0.03264337502447834;50;0.03264337502447834;leakyrelu;rmsprop;256;88.1110235907294
1;30;0.06045109560475492;;;;;relu;adam;128;88.23558331086636
2;40;0.3101937889491447;40;0.3101937889491447;;;leakyrelu;adam;256;90.29554864059945
1;40;0.1525335905915079;;;;;relu;adam;64;88.15026713772441
2;50;0.49964592610197167;50;0.49964592610197167;;;relu;adam;256;94.59609973807896
2;50;0.2586267020934482;50;0.2586267020934482;;;relu;rmsprop;64;89.31051668522677
1;40;0.4434873842569261;;;;;relu;adam;128;90.22963642429661
2;40;0.3489266444465597;40;0.3489266444465597;;;relu;adam;64;89.66585749879283
2;30;0.33138273287970804;30;0.33138273287970804;;;relu;adam;128;93.60112447071141
1;40;0.27710396518920993;;;;;relu;adam;64;89.20669317741157
1;40;0.1820122957634046;;;;;leakyrelu;rmsprop;256;244.49850083190537
3;50;0.00585045867230477;50;0.00585045867230477;50;0.00585045867230477;leakyrelu;adam;64;87.86407491851828
